class_name,component_class_name,diagram_id,edge_id,instance_id,is_suspicious_match,match_confidence,match_distance_px,match_status,match_warnings,net_id,net_index,relation_type,relative_position,snap_point,source,target,terminal_id,terminal_name
,,1,edge:1:component:30.1:terminal:30.1:t1,30.1,,,,,,,,HAS_TERMINAL,top,,component:1:30.1,terminal:1:30.1:t1,30.1:t1,t1
,,1,edge:1:component:30.1:terminal:30.1:t2,30.1,,,,,,,,HAS_TERMINAL,bottom,,component:1:30.1,terminal:1:30.1:t2,30.1:t2,t2
,,1,edge:1:component:12.1:terminal:12.1:t1,12.1,,,,,,,,HAS_TERMINAL,top,,component:1:12.1,terminal:1:12.1:t1,12.1:t1,t1
,,1,edge:1:component:12.1:terminal:12.1:t2,12.1,,,,,,,,HAS_TERMINAL,bottom,,component:1:12.1,terminal:1:12.1:t2,12.1:t2,t2
,,1,edge:1:component:17.1:terminal:17.1:t1,17.1,,,,,,,,HAS_TERMINAL,left,,component:1:17.1,terminal:1:17.1:t1,17.1:t1,t1
,,1,edge:1:component:17.1:terminal:17.1:t2,17.1,,,,,,,,HAS_TERMINAL,right,,component:1:17.1,terminal:1:17.1:t2,17.1:t2,t2
,,1,edge:1:component:10.1:terminal:10.1:t1,10.1,,,,,,,,HAS_TERMINAL,left,,component:1:10.1,terminal:1:10.1:t1,10.1:t1,t1
,,1,edge:1:component:10.1:terminal:10.1:t2,10.1,,,,,,,,HAS_TERMINAL,right,,component:1:10.1,terminal:1:10.1:t2,10.1:t2,t2
,,1,edge:1:component:27.1:terminal:27.1:t1,27.1,,,,,,,,HAS_TERMINAL,top,,component:1:27.1,terminal:1:27.1:t1,27.1:t1,t1
,,1,edge:1:component:27.1:terminal:27.1:t2,27.1,,,,,,,,HAS_TERMINAL,bottom,,component:1:27.1,terminal:1:27.1:t2,27.1:t2,t2
,,1,edge:1:component:4.1:terminal:4.1:t1,4.1,,,,,,,,HAS_TERMINAL,top,,component:1:4.1,terminal:1:4.1:t1,4.1:t1,t1
,,1,edge:1:component:4.1:terminal:4.1:t2,4.1,,,,,,,,HAS_TERMINAL,bottom,,component:1:4.1,terminal:1:4.1:t2,4.1:t2,t2
,,1,edge:1:component:7.1:terminal:7.1:t1,7.1,,,,,,,,HAS_TERMINAL,left,,component:1:7.1,terminal:1:7.1:t1,7.1:t1,t1
,,1,edge:1:component:7.1:terminal:7.1:t2,7.1,,,,,,,,HAS_TERMINAL,right,,component:1:7.1,terminal:1:7.1:t2,7.1:t2,t2
,,1,edge:1:component:26.1:terminal:26.1:t1,26.1,,,,,,,,HAS_TERMINAL,top,,component:1:26.1,terminal:1:26.1:t1,26.1:t1,t1
,,1,edge:1:component:26.1:terminal:26.1:t2,26.1,,,,,,,,HAS_TERMINAL,bottom,,component:1:26.1,terminal:1:26.1:t2,26.1:t2,t2
,,1,edge:1:component:13.1:terminal:13.1:t1,13.1,,,,,,,,HAS_TERMINAL,top,,component:1:13.1,terminal:1:13.1:t1,13.1:t1,t1
,,1,edge:1:component:13.1:terminal:13.1:t2,13.1,,,,,,,,HAS_TERMINAL,bottom,,component:1:13.1,terminal:1:13.1:t2,13.1:t2,t2
,Battery,1,edge:1:terminal:2.1:t1:net:N1,,False,ok,1.0,matched_preferred,[],N1,1,CONNECTED_TO,,"[118, 184]",terminal:1:2.1:t1,net:1:N1,2.1:t1,
,Battery,1,edge:1:terminal:2.1:t2:net:N2,,False,ok,1.0,matched_preferred,[],N2,2,CONNECTED_TO,,"[118, 291]",terminal:1:2.1:t2,net:1:N2,2.1:t2,
,Fuse,1,edge:1:terminal:8.1:t1:net:N1,,False,ok,2.0,matched_preferred,[],N1,1,CONNECTED_TO,,"[229, 100]",terminal:1:8.1:t1,net:1:N1,8.1:t1,
,Fuse,1,edge:1:terminal:8.1:t2:net:N3,,False,ok,2.0,matched_preferred,[],N3,3,CONNECTED_TO,,"[316, 100]",terminal:1:8.1:t2,net:1:N3,8.1:t2,
,Meter,1,edge:1:terminal:15.1:t1:net:N3,,False,ok,1.0,matched_preferred,[],N3,3,CONNECTED_TO,,"[383, 257]",terminal:1:15.1:t1,net:1:N3,15.1:t1,
,Meter,1,edge:1:terminal:15.1:t2:net:N2,,False,ok,1.0,matched_preferred,[],N2,2,CONNECTED_TO,,"[383, 388]",terminal:1:15.1:t2,net:1:N2,15.1:t2,
,Switch,1,edge:1:terminal:25.1:t1:net:N3,,False,ok,9.0,matched_preferred,[],N3,3,CONNECTED_TO,,"[439, 98]",terminal:1:25.1:t1,net:1:N3,25.1:t1,
,Switch,1,edge:1:terminal:25.1:t2:net:N6,,False,ok,9.0,matched_preferred,[],N6,6,CONNECTED_TO,,"[538, 98]",terminal:1:25.1:t2,net:1:N6,25.1:t2,
,Meter,1,edge:1:terminal:15.2:t1:net:N2,,False,ok,1.0,matched_preferred,[],N2,2,CONNECTED_TO,,"[461, 813]",terminal:1:15.2:t1,net:1:N2,15.2:t1,
,Meter,1,edge:1:terminal:15.2:t2:net:N4,,False,ok,1.0,matched_preferred,[],N4,4,CONNECTED_TO,,"[532, 813]",terminal:1:15.2:t2,net:1:N4,15.2:t2,
,Variable_Resistor,1,edge:1:terminal:30.1:t1:net:N6,,False,ok,1.0,matched_preferred,[],N6,6,CONNECTED_TO,,"[648, 224]",terminal:1:30.1:t1,net:1:N6,30.1:t1,
,Variable_Resistor,1,edge:1:terminal:30.1:t2:net:N5,,False,ok,1.0,matched_preferred,[],N5,5,CONNECTED_TO,,"[648, 390]",terminal:1:30.1:t2,net:1:N5,30.1:t2,
,LED,1,edge:1:terminal:12.1:t1:net:N5,,False,ok,0.0,matched_preferred,[],N5,5,CONNECTED_TO,,"[649, 535]",terminal:1:12.1:t1,net:1:N5,12.1:t1,
,LED,1,edge:1:terminal:12.1:t2:net:N4,,False,ok,0.0,matched_preferred,[],N4,4,CONNECTED_TO,,"[649, 631]",terminal:1:12.1:t2,net:1:N4,12.1:t2,
,Motor,1,edge:1:terminal:17.1:t1:net:N4,,False,ok,2.0,matched_preferred,[],N4,4,CONNECTED_TO,,"[669, 813]",terminal:1:17.1:t1,net:1:N4,17.1:t1,
,Motor,1,edge:1:terminal:17.1:t2:net:N9,,False,ok,2.0,matched_preferred,[],N9,9,CONNECTED_TO,,"[772, 813]",terminal:1:17.1:t2,net:1:N9,17.1:t2,
,Inductor,1,edge:1:terminal:10.1:t1:net:N4,,False,ok,1.0,matched_preferred,[],N4,4,CONNECTED_TO,,"[735, 973]",terminal:1:10.1:t1,net:1:N4,10.1:t1,
,Inductor,1,edge:1:terminal:10.1:t2:net:N8,,False,ok,1.0,matched_preferred,[],N8,8,CONNECTED_TO,,"[810, 973]",terminal:1:10.1:t2,net:1:N8,10.1:t2,
,Thermistor,1,edge:1:terminal:27.1:t1:net:N6,,False,ok,1.0,matched_preferred,[],N6,6,CONNECTED_TO,,"[800, 178]",terminal:1:27.1:t1,net:1:N6,27.1:t1,
,Thermistor,1,edge:1:terminal:27.1:t2:net:N7,,False,ok,1.0,matched_preferred,[],N7,7,CONNECTED_TO,,"[800, 337]",terminal:1:27.1:t2,net:1:N7,27.1:t2,
,Capacitor,1,edge:1:terminal:4.1:t1:net:N7,,False,ok,1.0,matched_preferred,[],N7,7,CONNECTED_TO,,"[800, 475]",terminal:1:4.1:t1,net:1:N7,4.1:t1,
,Capacitor,1,edge:1:terminal:4.1:t2:net:N9,,False,ok,1.0,matched_preferred,[],N9,9,CONNECTED_TO,,"[800, 583]",terminal:1:4.1:t2,net:1:N9,4.1:t2,
,Diode,1,edge:1:terminal:7.1:t1:net:N8,,False,ok,1.0,matched_preferred,[],N8,8,CONNECTED_TO,,"[906, 973]",terminal:1:7.1:t1,net:1:N8,7.1:t1,
,Diode,1,edge:1:terminal:7.1:t2:net:N10,,False,ok,1.0,matched_preferred,[],N10,10,CONNECTED_TO,,"[959, 973]",terminal:1:7.1:t2,net:1:N10,7.1:t2,
,Terminal,1,edge:1:terminal:26.1:t1:net:N11,,False,ok,0.0,matched_preferred,[],N11,11,CONNECTED_TO,,"[960, 513]",terminal:1:26.1:t1,net:1:N11,26.1:t1,
,Terminal,1,edge:1:terminal:26.1:t2:net:N9,,False,ok,0.0,matched_preferred,[],N9,9,CONNECTED_TO,,"[960, 584]",terminal:1:26.1:t2,net:1:N9,26.1:t2,
,Lamp,1,edge:1:terminal:13.1:t1:net:N6,,False,ok,1.0,matched_preferred,[],N6,6,CONNECTED_TO,,"[960, 257]",terminal:1:13.1:t1,net:1:N6,13.1:t1,
,Lamp,1,edge:1:terminal:13.1:t2:net:N11,,False,ok,1.0,matched_preferred,[],N11,11,CONNECTED_TO,,"[960, 390]",terminal:1:13.1:t2,net:1:N11,13.1:t2,
